Dates,CPIH,CPI,Average CPIH
Jan-50,4.3,4.1,5.8
Feb-50,4.3,4.1,5.8
Mar-50,4.8,4.7,5.8
Apr-50,5.4,5.5,5.8
May-50,3.7,3.7,5.8
Jun-50,2.8,2.5,5.8
Jul-50,2.6,2.3,5.8
Aug-50,2.1,1.9,5.8
Sep-50,2.3,2.2,5.8
Oct-50,2.6,2.5,5.8
Nov-50,2.9,2.9,5.8
Dec-50,3,3.2,5.8
Jan-51,3.5,3.7,5.8
Feb-51,3.9,4.3,5.8
Mar-51,4.1,4.6,5.8
Apr-51,5,5.8,5.8
May-51,7,7.8,5.8
Jun-51,7.8,8.7,5.8
Jul-51,9.2,10.3,5.8
Aug-51,9.9,11,5.8
Sep-51,10,11.1,5.8
Oct-51,9.8,10.8,5.8
Nov-51,9.8,10.8,5.8
Dec-51,9.9,10.9,5.8
Jan-52,10.7,12.1,5.8
Feb-52,10.1,11.2,5.8
Mar-52,10.1,11.2,5.8
Apr-52,10.3,11.3,5.8
May-52,8.1,8.9,5.8
Jun-52,9.5,10.6,5.8
Jul-52,7.9,8.9,5.8
Aug-52,7,7.9,5.8
Sep-52,6.1,6.9,5.8
Oct-52,6.4,7.1,5.8
Nov-52,6,6.6,5.8
Dec-52,6.1,6.6,5.8
Jan-53,4.4,4.6,5.8
Feb-53,4.6,4.7,5.8
Mar-53,4.7,5,5.8
Apr-53,4.1,4.4,5.8
May-53,3.8,4,5.8
Jun-53,2.6,2.7,5.8
Jul-53,2.7,2.9,5.8
Aug-53,2.7,2.8,5.8
Sep-53,2.8,2.9,5.8
Oct-53,1.9,2,5.8
Nov-53,2.2,2.4,5.8
Dec-53,1.2,1.3,5.8
Jan-54,1.4,1.6,5.8
Feb-54,1,1.2,5.8
Mar-54,1.3,1.3,5.8
Apr-54,0.9,0.8,5.8
May-54,0.8,0.8,5.8
Jun-54,0.9,0.9,5.8
Jul-54,2.5,2.6,5.8
Aug-54,2.6,2.6,5.8
Sep-54,2.5,2.5,5.8
Oct-54,2.9,3,5.8
Nov-54,3.1,3.1,5.8
Dec-54,4.1,4.1,5.8
Jan-55,4.2,4.3,5.8
Feb-55,4.4,4.4,5.8
Mar-55,3.5,3.5,5.8
Apr-55,3.6,3.6,5.8
May-55,3.8,3.7,5.8
Jun-55,5.1,5.1,5.8
Jul-55,3.8,3.7,5.8
Aug-55,3.5,3.8,5.8
Sep-55,4.3,4.7,5.8
Oct-55,4.8,5.3,5.8
Nov-55,5.7,6.3,5.8
Dec-55,5.1,5.7,5.8
Jan-56,4.4,5.1,5.8
Feb-56,4.4,5,5.8
Mar-56,5.7,6.5,5.8
Apr-56,6.6,7.5,5.8
May-56,6.4,7.4,5.8
Jun-56,4.2,5.2,5.8
Jul-56,3.4,4.3,5.8
Aug-56,4.6,5.2,5.8
Sep-56,3.9,4.3,5.8
Oct-56,3.5,3.9,5.8
Nov-56,2.6,2.8,5.8
Dec-56,2.8,3,5.8
Jan-57,3.9,4.2,5.8
Feb-57,3.8,4.1,5.8
Mar-57,2.2,2.4,5.8
Apr-57,1.2,1.3,5.8
May-57,1.7,1.8,5.8
Jun-57,3,3.1,5.8
Jul-57,4.2,4.5,5.8
Aug-57,3.6,3.9,5.8
Sep-57,3.4,3.8,5.8
Oct-57,3.4,3.8,5.8
Nov-57,3.3,4,5.8
Dec-57,3.7,4.3,5.8
Jan-58,2.7,3.3,5.8
Feb-58,2.3,2.9,5.8
Mar-58,3.3,4,5.8
Apr-58,4.2,4.8,5.8
May-58,3.6,4.2,5.8
Jun-58,3.5,4,5.8
Jul-58,1.2,1.4,5.8
Aug-58,1.3,1.4,5.8
Sep-58,1.8,1.9,5.8
Oct-58,2.2,2.2,5.8
Nov-58,2.2,2.1,5.8
Dec-58,2,1.9,5.8
Jan-59,2.4,2.3,5.8
Feb-59,2.7,2.6,5.8
Mar-59,1.9,1.9,5.8
Apr-59,0.2,0,5.8
May-59,0.2,-0.1,5.8
Jun-59,-0.5,-0.8,5.8
Jul-59,0.8,0.5,5.8
Aug-59,1.3,1.1,5.8
Sep-59,0.6,0.3,5.8
Oct-59,0.2,-0.1,5.8
Nov-59,0.4,0.2,5.8
Dec-59,0.3,0.1,5.8
Jan-60,-0.2,-0.4,5.8
Feb-60,0,-0.3,5.8
Mar-60,-0.1,-0.4,5.8
Apr-60,0.9,0.7,5.8
May-60,1.4,1.1,5.8
Jun-60,1.8,1.6,5.8
Jul-60,2.1,1.9,5.8
Aug-60,1.1,0.9,5.8
Sep-60,1.7,1.5,5.8
Oct-60,1.8,1.8,5.8
Nov-60,1.6,1.6,5.8
Dec-60,1.7,1.7,5.8
Jan-61,1.9,2,5.8
Feb-61,1.9,2,5.8
Mar-61,2.3,2.4,5.8
Apr-61,2.2,2.4,5.8
May-61,2.5,2.7,5.8
Jun-61,2.7,3,5.8
Jul-61,2.6,3,5.8
Aug-61,4.3,4.7,5.8
Sep-61,4,4.3,5.8
Oct-61,3.4,3.6,5.8
Nov-61,3.9,4.1,5.8
Dec-61,3.9,4.1,5.8
Jan-62,4.3,4.3,5.8
Feb-62,4.2,4.3,5.8
Mar-62,4.6,4.6,5.8
Apr-62,5.5,5.5,5.8
May-62,5.3,5.6,5.8
Jun-62,5.1,5.4,5.8
Jul-62,4.7,4.8,5.8
Aug-62,2.9,3,5.8
Sep-62,3,3.1,5.8
Oct-62,2.8,2.9,5.8
