Dates,CPIH,CPI,Average CPIH
Jan-89,5.7,4.9,2.6
Feb-89,5.8,5,2.6
Mar-89,5.9,5,2.6
Apr-89,5.6,5.3,2.6
May-89,5.9,5.3,2.6
Jun-89,5.8,5.2,2.6
Jul-89,5.7,5.2,2.6
Aug-89,5.5,5,2.6
Sep-89,5.7,5.2,2.6
Oct-89,5.8,5.5,2.6
Nov-89,5.7,5.5,2.6
Dec-89,5.8,5.5,2.6
Jan-90,5.9,5.7,2.6
Feb-90,6.3,5.9,2.6
Mar-90,6.2,6,2.6
Apr-90,7.7,6.4,2.6
May-90,8.2,6.8,2.6
Jun-90,8.2,6.9,2.6
Jul-90,8.2,6.8,2.6
Aug-90,8.9,7.7,2.6
Sep-90,9.2,8.1,2.6
Oct-90,9.2,8.1,2.6
Nov-90,9.2,7.8,2.6
Dec-90,9.2,7.6,2.6
Jan-91,8.6,7.1,2.6
Feb-91,8.2,7,2.6
Mar-91,8.3,6.9,2.6
Apr-91,8,8.4,2.6
May-91,7.5,8.2,2.6
Jun-91,7.7,8.4,2.6
Jul-91,7.5,8.3,2.6
Aug-91,7.5,7.9,2.6
Sep-91,6.9,7.1,2.6
Oct-91,6.5,6.8,2.6
Nov-91,6.5,7.1,2.6
Dec-91,6.5,7.2,2.6
Jan-92,6.2,7,2.6
Feb-92,6.3,6.9,2.6
Mar-92,6.2,7.1,2.6
Apr-92,5.2,4.7,2.6
May-92,5.1,4.3,2.6
Jun-92,4.6,3.8,2.6
Jul-92,4.5,3.6,2.6
Aug-92,3.7,3,2.6
Sep-92,3.7,3,2.6
Oct-92,3.5,2.9,2.6
Nov-92,3.3,2.6,2.6
Dec-92,3.2,2.6,2.6
Jan-93,3,2.2,2.6
Feb-93,3.1,2.4,2.6
Mar-93,3.2,2.5,2.6
Apr-93,2.6,2.5,2.6
May-93,2.3,2.5,2.6
Jun-93,2.2,2.4,2.6
Jul-93,2.3,2.6,2.6
Aug-93,2.6,2.9,2.6
Sep-93,2.7,3.1,2.6
Oct-93,2.4,2.6,2.6
Nov-93,2.1,2.3,2.6
Dec-93,2.3,2.4,2.6
Jan-94,2.6,2.7,2.6
Feb-94,2.4,2.5,2.6
Mar-94,2.2,2.2,2.6
Apr-94,2.4,2,2.6
May-94,2.4,2,2.6
Jun-94,2.3,2,2.6
Jul-94,2.1,1.7,2.6
Aug-94,2.2,1.9,2.6
Sep-94,1.9,1.5,2.6
Oct-94,1.8,1.5,2.6
Nov-94,2.1,1.8,2.6
Dec-94,2.2,2,2.6
Jan-95,2.4,2.4,2.6
Feb-95,2.3,2.4,2.6
Mar-95,2.4,2.6,2.6
Apr-95,2.3,2.3,2.6
May-95,2.6,2.5,2.6
Jun-95,2.7,2.6,2.6
Jul-95,2.8,2.7,2.6
Aug-95,2.7,2.6,2.6
Sep-95,3,3,2.6
Oct-95,3,2.9,2.6
Nov-95,2.9,2.8,2.6
Dec-95,3.1,3,2.6
Jan-96,2.9,2.6,2.6
Feb-96,3,2.7,2.6
Mar-96,3,2.6,2.6
Apr-96,2.8,2.5,2.6
May-96,2.8,2.3,2.6
Jun-96,2.8,2.3,2.6
Jul-96,2.7,2.2,2.6
Aug-96,2.7,2.3,2.6
Sep-96,2.7,2.3,2.6
Oct-96,3,2.5,2.6
Nov-96,3.1,2.6,2.6
Dec-96,2.8,2.3,2.6
Jan-97,2.6,2.1,2.6
Feb-97,2.4,1.9,2.6
Mar-97,2.2,1.7,2.6
Apr-97,2.1,1.6,2.6
May-97,2.1,1.6,2.6
Jun-97,2.1,1.7,2.6
Jul-97,2.4,2,2.6
Aug-97,2.3,2,2.6
Sep-97,2.2,1.8,2.6
Oct-97,2.2,1.9,2.6
Nov-97,2.1,1.9,2.6
Dec-97,1.9,1.7,2.6
Jan-98,1.8,1.5,2.6
Feb-98,1.8,1.6,2.6
Mar-98,1.9,1.7,2.6
Apr-98,2.1,1.8,2.6
May-98,2.2,2,2.6
Jun-98,1.9,1.7,2.6
Jul-98,1.7,1.4,2.6
Aug-98,1.6,1.3,2.6
Sep-98,1.7,1.4,2.6
Oct-98,1.6,1.4,2.6
Nov-98,1.7,1.4,2.6
Dec-98,1.9,1.6,2.6
Jan-99,2,1.6,2.6
Feb-99,1.9,1.4,2.6
Mar-99,2.1,1.7,2.6
Apr-99,2,1.5,2.6
May-99,1.7,1.3,2.6
Jun-99,1.8,1.3,2.6
Jul-99,1.7,1.3,2.6
Aug-99,1.6,1.2,2.6
Sep-99,1.6,1.2,2.6
Oct-99,1.5,1.1,2.6
Nov-99,1.5,1.2,2.6
Dec-99,1.5,1.1,2.6
Jan-00,1.2,0.8,2.6
Feb-00,1.2,0.9,2.6
Mar-00,1,0.6,2.6
Apr-00,0.9,0.6,2.6
May-00,1,0.5,2.6
