Dates,Food and non-alcoholic beverages,Alcohol and tobacco,Housing and household services,Transport,Other
1950-01-01,3.84,-0.26,0.69,0.09,-0.06
1950-02-01,3.8,-0.26,0.69,0.09,-0.01
1950-03-01,4.21,-0.26,0.75,0.09,0.02
1950-04-01,4.26,0.03,0.78,0.09,0.28
1950-05-01,3.08,-0.3,0.78,0.13,-0.04
1950-06-01,2.27,-0.3,0.72,0.13,-0.03
1950-07-01,2,-0.3,0.74,0.13,0.04
1950-08-01,1.47,-0.3,0.75,0.13,0.08
1950-09-01,1.56,-0.3,0.77,0.14,0.16
1950-10-01,1.6,-0.3,0.74,0.16,0.39
1950-11-01,1.66,-0.28,0.78,0.14,0.57
1950-12-01,1.67,-0.26,0.81,0.14,0.66
1951-01-01,1.86,-0.26,0.82,0.15,0.93
1951-02-01,1.94,-0.26,0.88,0.16,1.18
1951-03-01,1.87,-0.24,0.89,0.17,1.4
1951-04-01,2.39,-0.24,0.98,0.19,1.63
1951-05-01,3.02,0.3,0.92,0.15,2.64
1951-06-01,3.57,0.32,0.96,0.15,2.77
1951-07-01,4.88,0.32,0.99,0.16,2.81
1951-08-01,5.29,0.33,0.98,0.16,3.13
1951-09-01,5.17,0.59,0.97,0.15,3.16
1951-10-01,5.06,0.58,0.95,0.14,3.07
1951-11-01,5.21,0.56,0.96,0.15,2.9
1951-12-01,5.38,0.55,0.95,0.17,2.9
1952-01-01,6.36,0.58,0.98,0.19,2.62
1952-02-01,6.2,0.58,0.91,0.18,2.28
1952-03-01,6.33,0.55,0.88,0.2,2.12
1952-04-01,6.87,0.54,0.81,0.18,1.87
1952-05-01,5.67,0.38,0.74,0.17,1.11
1952-06-01,7.33,0.36,0.78,0.17,0.83
1952-07-01,6.12,0.38,0.69,0.16,0.59
1952-08-01,5.44,0.38,0.73,0.18,0.31
1952-09-01,4.88,0.13,0.71,0.19,0.2
1952-10-01,5.24,0.13,0.77,0.18,0.11
1952-11-01,4.87,0.12,0.74,0.18,0.11
1952-12-01,5.06,0.12,0.73,0.16,0.01
1953-01-01,3.63,0.09,0.65,0.13,-0.05
1953-02-01,3.74,0.1,0.65,0.13,-0.02
1953-03-01,3.86,0.1,0.69,0.11,-0.08
1953-04-01,3.26,0.1,0.73,0.1,-0.11
1953-05-01,3.13,0.05,0.71,0.1,-0.19
1953-06-01,1.83,0.05,0.7,0.1,-0.08
1953-07-01,1.87,0.05,0.71,0.1,0.01
1953-08-01,1.8,0.05,0.7,0.09,0.04
1953-09-01,1.82,0.05,0.71,0.08,0.11
1953-10-01,0.81,0.06,0.69,0.08,0.24
1953-11-01,1.07,0.06,0.71,0.08,0.22
1953-12-01,0.05,0.06,0.71,0.08,0.25
1954-01-01,0.31,0.07,0.71,0.08,0.24
1954-02-01,-0.09,0.06,0.71,0.08,0.23
1954-03-01,0.27,0.06,0.68,0.08,0.21
1954-04-01,-0.02,0.05,0.62,0.08,0.18
1954-05-01,-0.27,0.05,0.62,0.08,0.32
1954-06-01,-0.12,0.05,0.62,0.07,0.31
1954-07-01,1.5,0.04,0.62,0.07,0.3
1954-08-01,1.58,0.04,0.62,0.07,0.29
1954-09-01,1.47,0.04,0.62,0.08,0.28
1954-10-01,1.95,0.04,0.61,0.08,0.27
1954-11-01,2.13,0.04,0.6,0.08,0.28
1954-12-01,3.08,0.1,0.61,0.08,0.22
1955-01-01,3.2,0.07,0.62,0.08,0.23
1955-02-01,3.32,0.07,0.62,0.09,0.3
1955-03-01,2.46,0.07,0.6,0.09,0.3
1955-04-01,2.54,0.1,0.58,0.09,0.33
1955-05-01,2.69,0.1,0.6,0.09,0.36
1955-06-01,3.85,0.1,0.6,0.1,0.4
1955-07-01,2.51,0.12,0.6,0.1,0.44
1955-08-01,2.08,0.12,0.69,0.1,0.46
1955-09-01,2.85,0.14,0.71,0.1,0.49
1955-10-01,3.31,0.13,0.71,0.1,0.56
1955-11-01,3.73,0.28,0.73,0.1,0.88
1955-12-01,2.95,0.22,0.74,0.1,1.04
1956-01-01,2.1,0.23,0.74,0.17,1.18
1956-02-01,2.08,0.23,0.75,0.16,1.15
1956-03-01,3.38,0.23,0.74,0.17,1.22
1956-04-01,4.13,0.22,0.71,0.22,1.31
1956-05-01,3.48,0.68,0.71,0.25,1.3
1956-06-01,1.28,0.68,0.71,0.27,1.29
1956-07-01,0.37,0.67,0.71,0.27,1.39
1956-08-01,1.66,0.68,0.65,0.26,1.4
1956-09-01,0.92,0.66,0.64,0.28,1.35
1956-10-01,0.5,0.68,0.7,0.34,1.31
1956-11-01,0.07,0.53,0.66,0.31,1
1956-12-01,0.29,0.54,0.66,0.42,0.91
1957-01-01,1.38,0.54,0.65,0.48,0.85
1957-02-01,1.35,0.54,0.65,0.48,0.82
1957-03-01,-0.33,0.56,0.65,0.51,0.84
1957-04-01,-1.2,0.57,0.67,0.42,0.73
1957-05-01,-0.15,0.13,0.65,0.37,0.71
1957-06-01,1.27,0.12,0.64,0.35,0.66
1957-07-01,2.49,0.1,0.69,0.37,0.53
1957-08-01,1.76,0.12,0.71,0.4,0.59
1957-09-01,1.35,0.31,0.71,0.4,0.64
1957-10-01,0.96,0.32,0.76,0.42,0.9
1957-11-01,0.75,0.32,0.83,0.47,0.95
1957-12-01,1.23,0.32,0.83,0.36,0.9
1958-01-01,0.43,0.32,0.84,0.26,0.83
1958-02-01,0.08,0.32,0.84,0.26,0.84
1958-03-01,1.19,0.29,0.85,0.22,0.8
1958-04-01,2.02,0.27,0.83,0.27,0.8
1958-05-01,1.53,0.27,0.8,0.3,0.73
1958-06-01,1.39,0.27,0.81,0.31,0.7
1958-07-01,-0.86,0.27,0.77,0.3,0.69
1958-08-01,-0.63,0.25,0.75,0.27,0.61
1958-09-01,0.22,0.06,0.73,0.24,0.53
1958-10-01,1.1,0.03,0.66,0.21,0.24
1958-11-01,1.17,0.03,0.63,0.18,0.17
1958-12-01,1.03,0.03,0.62,0.17,0.17
1959-01-01,1.43,0.03,0.62,0.19,0.12
1959-02-01,1.72,0.03,0.63,0.2,0.08
1959-03-01,1.03,0.03,0.62,0.2,0.07
1959-04-01,-0.08,-0.23,0.6,0.21,-0.3
1959-05-01,-0.18,-0.23,0.58,0.21,-0.22
1959-06-01,-0.87,-0.23,0.57,0.2,-0.2
1959-07-01,0.43,-0.23,0.58,0.21,-0.21
